GeneID	GSM3938668	GSM3938669	GSM3938670	GSM3938671	GSM3938672	GSM3938673	GSM3938674	GSM3938675	GSM3938676	GSM3938677	GSM3938678	GSM3938679
100287102	18	16	21	21	20	20	18	16	30	23	26	17
653635	670	583	768	622	653	595	643	485	1005	684	843	607
102466751	11	17	10	14	17	13	14	13	22	23	17	13
107985730	2	0	1	0	2	1	4	1	2	1	1	1
100302278	0	0	0	0	1	1	0	0	0	0	0	0
645520	0	1	1	0	1	1	0	0	2	1	0	0
79501	0	0	1	0	0	0	0	0	0	0	1	0
100996442	80	74	79	92	40	44	48	36	104	81	93	74
729737	152	146	154	171	56	59	77	58	151	118	138	107
102725121	8	8	9	14	20	20	15	21	18	15	19	14
102723897	707	568	775	654	745	660	759	545	950	706	792	572
102465909	7	14	9	10	10	11	11	8	9	11	9	13
107985721	4	1	4	2	4	1	6	1	9	2	5	3
112268260	18	20	19	21	13	18	13	11	19	21	24	15
729759	0	0	1	1	2	2	3	1	0	0	0	1
100132287	196	169	198	214	98	106	135	102	213	172	184	139
105378947	0	1	0	2	1	0	2	2	1	1	0	1
101928626	0	0	0	0	0	1	1	0	0	1	0	3
113219467	989	1020	1066	1226	2203	2997	2159	2212	900	1008	657	828
81399	7	6	10	14	16	11	20	7	9	6	12	8
100133331	177	146	179	196	106	105	137	110	207	174	174	134
107984841	42	58	54	60	47	47	56	37	71	64	56	51
107984847	58	64	78	79	63	64	85	57	85	81	63	76
107984849	6	8	12	16	8	8	12	9	12	8	8	12
100288069	99	111	122	139	117	99	107	90	165	140	134	110
105378580	99	110	107	117	175	145	164	123	173	192	180	190
400728	39	38	34	36	56	56	54	52	45	53	44	32
79854	61	68	69	83	81	96	116	60	122	105	88	80
643837	469	336	493	427	637	532	749	485	1149	795	923	654
107984850	2	1	0	0	1	0	3	0	5	4	7	2
284593	5	5	6	5	13	8	12	10	4	3	7	3
284600	18	26	37	32	24	28	31	21	43	36	21	46
100130417	2	0	1	4	6	1	4	1	3	8	5	5
107985728	0	0	0	0	0	0	0	0	0	0	1	0
148398	219	177	269	177	326	249	353	229	441	304	338	246
26155	3448	2474	3865	2879	4820	4116	5034	3243	6539	4491	5164	3703
339451	228	226	295	272	193	299	225	220	385	313	313	254
84069	47	35	48	51	12	10	3	12	31	46	27	31
84808	5	5	3	7	3	3	1	2	1	6	3	6
57801	349	305	479	333	0	0	1	0	37	42	40	20
9636	17206	16281	19279	18906	1111	2694	1139	2190	2807	5322	2103	4356
375790	5262	4332	5757	4826	4857	4427	5263	3577	1037	944	766	759
100288175	330	302	352	372	35	24	22	25	77	50	60	45
112267874	43	42	50	46	7	4	8	6	14	6	13	5
105378948	303	302	321	364	25	25	18	26	95	63	58	55
401934	8	7	4	2	1	1	1	0	3	1	0	0
54991	311	276	285	261	279	327	289	287	433	326	341	323
254099	0	0	0	1	0	0	0	0	1	1	3	1
406984	5	4	3	3	0	0	0	0	0	1	1	1
406983	10	10	12	7	0	0	0	0	1	0	2	1
554210	4	18	19	5	0	0	0	0	4	0	0	0
100506376	0	1	0	0	0	0	0	0	2	0	1	0
254173	4	0	1	1	1	0	3	2	7	0	4	1
8784	79	103	94	85	67	89	60	76	173	96	139	57
7293	40	38	46	50	33	67	37	65	87	62	70	50
51150	2241	1708	2461	1933	3067	2523	3234	2099	3465	2500	2565	1919
126792	904	791	1061	942	355	575	365	497	1213	1349	871	1076
388581	20	12	23	23	20	12	18	12	9	8	11	5
118424	1394	1018	1512	1292	1512	1434	1646	1225	1865	1426	1483	1128
101928895	4	2	5	6	13	37	20	25	59	71	37	54
6339	1	8	3	10	21	47	14	22	88	123	64	102
116983	486	416	535	520	999	897	1083	740	1029	852	783	655
102465434	0	1	0	0	2	0	0	0	1	0	0	1
109623456	1	2	2	3	11	4	10	6	8	2	6	6
126789	385	330	400	424	338	450	369	372	775	676	609	510
54973	2002	1549	2184	1723	2486	2178	2585	1724	3543	2810	2839	2423
102465435	5	3	6	5	7	4	5	6	10	4	5	5
80772	562	411	633	465	494	644	513	513	712	559	502	491
83756	42	32	37	29	78	51	86	34	142	194	146	134
1855	944	800	1018	983	747	1029	824	726	1385	1486	1071	1029
102466740	1	0	1	2	0	2	1	1	2	0	1	1
54587	77	81	93	112	130	192	108	165	197	266	156	232
54998	1711	1227	1798	1444	1786	2120	1764	1893	2825	2525	2216	1981
81669	2147	2085	2504	2503	2424	3173	2392	2760	2423	2938	1823	2524
148413	910	666	1010	816	946	1059	942	782	1584	1413	1130	1159
55052	1733	1433	1956	1796	1342	1646	1284	1332	2241	2067	1785	1809
107984868	49	45	43	44	50	18	54	14	118	47	97	33
