UniqueCount	AmbigCount
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	3
0	3
0	0
0	0
0	481
0	1281
0	887
0	1295
0	1075
0	1191
0	1299
0	1267
0	1026
0	1096
0	726
0	875
0	1194
0	1313
0	775
0	1330
0	1271
0	1129
0	351
0	1096
0	750
0	1025
0	1004
0	519
0	1027
0	1231
0	1133
0	576
0	843
0	820
0	1102
0	661
0	991
0	1230
0	1313
0	1145
0	983
0	1029
0	434
0	1180
0	1280
0	1112
0	1103
0	737
0	1253
0	1146
0	1370
0	611
0	1080
0	682
0	388
0	1032
0	1203
0	800
0	581
0	700
0	768
0	1169
0	792
0	1092
0	790
0	1201
0	1173
0	404
0	859
0	1213
0	844
0	363
0	712
0	688
0	558
0	1276
0	1245
0	1280
0	1056
0	1278
0	1044
0	691
0	1260
0	1332
0	785
0	340
0	557
0	1125
0	1308
0	785
0	1134
0	1253
0	1224
0	1043
0	1301
0	970
0	764
0	1176
0	1101
0	495
0	1102
0	406
0	393
0	618
0	1026
0	1244
0	976
0	578
0	407
0	349
0	1062
0	1054
0	462
0	602
0	401
0	365
0	482
0	1026
0	787
0	874
0	1176
0	527
0	1235
0	499
0	807
0	1230
0	683
0	618
0	729
0	1326
0	620
0	1065
0	1233
0	791
0	1188
0	981
0	1205
0	1276
0	867
0	1160
0	1192
0	1284
0	760
0	783
0	740
0	705
0	214
0	516
0	79
0	157
0	579
0	366
0	251
0	333
0	806
0	105
0	366
0	655
0	116
0	243
0	576
0	130
0	346
0	345
0	133
0	280
0	289
0	235
0	711
0	158
0	707
0	760
0	611
0	712
0	138
0	361
0	219
0	426
0	419
0	724
0	671
0	242
0	720
0	729
0	294
0	247
0	45
0	195
0	364
0	716
0	321
0	296
0	527
0	144
0	175
0	244
0	614
0	168
0	548
0	514
0	470
0	338
0	695
0	312
0	411
0	143
0	447
0	275
0	456
0	115
0	427
0	203
0	611
0	357
0	314
0	174
0	59
0	754
0	207
0	782
0	589
0	581
0	460
0	206
0	613
0	284
0	649
0	485
0	85
0	214
0	425
0	327
0	179
0	495
0	113
0	611
0	648
0	234
0	114
0	648
0	304
0	98
0	58
0	113
0	688
0	523
0	528
0	220
0	646
0	126
0	394
0	618
0	319
0	316
0	450
0	494
0	378
0	547
0	430
0	350
0	108
0	383
0	543
0	414
0	305
0	468
0	260
0	713
0	495
0	73
0	454
0	476
0	212
0	60
0	66
0	137
0	416
0	98
0	323
0	143
0	66
0	65
0	104
0	76
0	65
0	319
0	64
0	75
4	320
0	908
0	0
0	0
0	0
0	2
0	0
0	0
0	1
0	2
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
7	37
0	94
0	132
0	116
0	5
0	116
0	123
0	118
0	117
0	124
0	0
0	131
0	90
0	120
0	121
0	116
0	45
0	84
0	5
356	90
0	71
0	156
0	147
0	175
0	124
0	122
0	115
0	125
0	126
0	119
0	92
0	137
0	137
0	117
0	115
0	117
0	114
0	105
0	107
2	105
0	90
0	82
0	84
0	84
1	1
0	17
0	16
0	27
0	16
0	17
0	14
0	26
0	15
0	14
0	14
0	12
0	19
0	5
0	9
1	3
0	0
0	62
0	131
0	3
0	25
0	352
0	0
0	0
0	4
0	4
0	4
0	1
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	6
0	4
0	4
0	4
0	6
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	6
0	47
1	1119
0	951
0	477
0	770
0	1182
0	788
0	771
0	878
0	640
0	1137
0	643
0	716
0	1010
0	958
0	691
0	926
0	1169
0	1196
0	999
0	1164
0	651
0	1092
0	1101
0	1014
0	1063
0	497
0	1083
0	1125
0	850
0	1195
0	1029
0	545
0	786
0	1102
0	923
0	1139
0	1062
0	1071
0	676
0	405
0	1135
0	1107
0	612
0	755
0	910
0	1098
0	451
0	745
0	1154
0	799
0	774
0	1017
0	1031
0	1009
0	1008
0	657
0	1046
0	784
0	986
0	866
0	1115
0	1039
0	917
0	1122
0	754
0	1113
0	773
0	739
0	848
0	808
0	766
0	811
0	886
0	1001
0	685
0	1141
0	991
0	1107
0	730
0	837
0	773
0	614
0	1003
0	908
0	864
0	1100
0	849
0	1099
0	959
0	913
0	586
0	1124
0	1072
0	1023
0	942
0	1119
0	982
0	1122
0	669
0	354
0	865
0	1096
0	985
0	665
0	1151
0	946
0	1087
0	379
0	656
0	613
0	892
0	304
0	1158
0	1072
0	396
0	1011
0	945
0	507
0	858
0	1121
0	880
0	1006
0	760
0	1161
0	643
0	1129
0	766
0	1150
0	960
0	754
0	764
0	990
0	880
0	640
0	845
0	426
0	1073
0	832
0	494
0	963
0	934
0	714
0	854
0	942
0	488
0	938
0	835
0	613
0	816
0	516
0	994
0	736
0	1071
0	512
0	1019
0	803
0	576
0	1144
0	747
0	614
0	1139
0	843
0	524
0	890
0	1044
0	1090
0	675
0	505
0	939
0	1029
0	1143
0	430
0	865
0	849
0	856
0	1129
0	1058
0	820
0	1126
0	1042
0	830
0	865
0	356
0	1116
0	1037
0	1013
0	1029
0	414
0	1076
0	920
0	570
0	1003
0	975
0	919
0	858
0	1002
0	752
0	1094
0	472
0	477
0	819
0	499
0	1002
0	995
0	904
0	791
0	605
0	172
0	239
0	480
0	834
0	939
0	943
0	516
